id name time creater
2068 会员加量包券 1597652218775 liuxin
2066 破冰券1 1597649199811 zxy
2065 指定噚嚙游戏券 1597394248745 zxy
2064 优惠券一句话描述规则 1597386059648 wlp
2063 迭代需求测试券 1597386036535 duanjuntao
2062 商店指定应用券 1597374468171 admin
2061 精选好券抢券 1597373466411 wlp
2060 商店通用满减券 1597373214595 geqing1
2059 优惠券申请专属游戏券 1597316364815 wlp
2057 迭代需求测试券 1597302013388 duanjuntao
2056 迭代需求测试券 1597301656316 duanjuntao
2055 迭代需求测试券 1597299968629 duanjuntao
2054 后台组合1 1597299678058 admin
2053 后台组合 1597299390358 admin
2052 匿名账号发多满减券 1597283340142 admin
2051 验证优惠券余额不足 1597227155941 admin
2050 券数量不足 1597221388790 zxy
2049 券多选一4 1597220085700 zxy
2048 券未开始 1597214388988 zxy
2047 券多选一3 1597200874386 zxy
2046 券多选一2 1597200755922 zxy
2045 券多选一1 1597200685478 zxy
2044 不发给匿名账号的券 1597200310333 admin
2043 无门槛券 1597199815318 wlp
2042 匿名登录送all 1597129288677 admin
2041 迭代需求测试券 1597127825032 duanjuntao
2040 迭代需求测试券 1597123268707 duanjuntao
2039 迭代需求测试券 1597123268146 duanjuntao
2038 会员升级优惠券 1597067531308 liuxin15
2037 会员券-满100减1 1597067050883 liuxin15
2036 非结算5,8.20 1597062127364 admin
2035 J<12小时2元 1597061814499 admin
2034 I<24小时3元 1597061758569 admin
2033 券H<48小时4满减 1597061682741 admin
2032 G< 48过期4元 1597061628347 admin
2031 F820结算5 1597061546801 admin
2030 E8205非结算 1597061091943 admin
2028 测试优惠券3 1597058848049 admin
2027 测试优惠券2 1597058614374 admin
2026 测试优惠券1 1597058399975 admin
2025 99999 1597057877650 admin
2024 测试小游戏小米支付 1597056278460 admin
2023 18:30过期优惠券 1597055025648 admin
2021 迭代需求测试券 1597053260262 duanjuntao
2020 活动交集测试1 1597044946840 是太极张三丰
2019 迭代需求测试券 1597044454756 duanjuntao
2018 迭代需求测试券 1597042737113 duanjuntao
2017 迭代需求测试券 1597042173365 duanjuntao
2016 测试小游戏小米支付 1597040562731 啊啊啊啊啊啊啊啊啊啊啊啊
2015 测试小游戏小米支付 1597040460285 啊啊啊啊啊啊啊啊啊啊啊啊
2014 迭代需求测试券迭 1597029258000 duanjuntao
2013 到达领取时间领优惠券 1596800739246 张三
2012 优惠券到期后是否展示 1596800363301 张三
2011 测试小游戏小米支付 1596798613871 自己
2010 迭代需求测试券 1596797331228 duanjuntao
2009 迭代需求测试券 1596795439391 duanjuntao
2008 无门槛100 1596793327737 CC
2007 满201-200 1596793278811 CC
2005 测试小游戏小米支付啊啊啊啊啊啊啊啊啊啊 1596787452352 啊啊啊啊啊啊啊啊啊啊啊啊
2004 应用联运测试优惠券8 1596786480791 自己
2003 非结算5,8.20 1596784552487 CC
2002 券J<24小时2元 1596783786416 CC
2001 应用联运测试优惠券7 1596783693943 自己
2000 券I<24小时3元 1596783685680 CC
1999 券H<48小时4满减 1596783530533 CC
1998 券G<48小时4元 1596783477226 CC
1996 应用联运测试优惠券6 1596781857601 啊啊啊啊啊啊啊啊啊啊啊啊
1995 券F8.205结算 1596772185190 CC
1994 券E8.20过期5元 1596771584468 CC
1993 应用联运测试优惠券5 1596771114687 自己
1992 应用联运测试优惠券5 1596770859103 dongyu
1991 应用联运测试优惠券4 1596770561439 啊啊啊啊啊啊啊啊啊啊啊啊
1990 应用联运测试优惠券3 1596770148984 自己
1988 应用联运优惠券3 1596769148045 11
1987 迭代需求测试券 1596768875916 duanjuntao
1986 迭代需求测试券 1596768798291 duanjuntao
1985 应用联运测试优惠券2 1596767659337 自己
1984 应用联运测试优惠券1 1596766842600 啊啊啊啊啊啊啊啊啊啊啊啊
1982 应用联运测试1@@@ 1596711026091 是太极张三丰
1981 应用联运优惠券@@@ 1596708000423 11
1979 迭代需求测试券 1596703334866 duanjuntao
1973 2.99 1596698334008 CC
1972 999999 1596698222677 CC
1971 9999 1596698016629 CC
1969 @！11111111111111111 1596697934890 是太极张三丰
1968 99 1596697906369 CC
1967 优惠券大拿氨氯长长@@ 1596697788136 11
1965 8.7验证过期券B3-78 1596685824273 CC
1964 8.7验证过期券A3 1596685731674 CC
1963 多游戏券C2 1596685629643 CC
1962 应用96券A2 1596685550197 CC
1961 应用96&78券C1 1596685466767 CC
1960 应用78券B1 1596684865646 CC
1959 应用96券A1 1596684686806 CC
1958 验收登录送券B 1596610723728 曹晨
1957 验收匿名券A 1596610213543 曹晨
1956 商店通用券 1596609808680 gq
1954 迭代需求测试券777 1596530048636 duanjuntao
1953 迭代需求测试券-002 1595917148637 duanjuntao
1952 测试环境月卡二期续费优惠券 1595916870798 dongyu
